snapshot,percentile,ix,iy,iz,omega_mag,R_max,sigma_abs,sigma_signed,C_far
t=0,50.0,83,11,6,61.20518023836503,32,11.985018158583891,3.6705992692716998,0.30626564104475296
t=0,50.0,83,11,6,61.20518023836503,48,16.79567184794842,5.855120905567546,0.34860891297318036
t=0,50.0,83,11,6,61.20518023836503,64,19.48080845709332,6.556449426208641,0.33655941131238404
t=0,50.0,83,11,6,61.20518023836503,80,21.383903015417722,6.726082299717825,0.3145395064160337
t=0,50.0,83,11,6,61.20518023836503,96,23.01485922930965,6.802813098832498,0.2955835198057196
t=0,50.0,83,11,6,61.20518023836503,112,24.583854357136882,6.827170591072465,0.2777095280460155
t=0,50.0,43,233,65,51.05473762526826,32,9.736872270380058,2.3960134897423218,0.24607629875469225
t=0,50.0,43,233,65,51.05473762526826,48,12.900723227262239,2.544253843757889,0.19721792328520676
t=0,50.0,43,233,65,51.05473762526826,64,15.178680909250067,2.5070016507061665,0.1651659762593975
t=0,50.0,43,233,65,51.05473762526826,80,17.066934425735568,2.537551129909803,0.14868230384030653
t=0,50.0,43,233,65,51.05473762526826,96,18.645677984432535,2.5246050932569846,0.13539894314193363
t=0,50.0,43,233,65,51.05473762526826,112,20.012772480776388,2.5270047520649546,0.12626959880208063
t=0,50.0,127,208,5,24.178381159462756,32,12.922300116542361,1.5274916367005422,0.11820586295973254
t=0,50.0,127,208,5,24.178381159462756,48,16.26982495433351,1.978868765401153,0.12162815340395386
t=0,50.0,127,208,5,24.178381159462756,64,19.006673239586544,2.4864912139777138,0.13082201091345763
t=0,50.0,127,208,5,24.178381159462756,80,20.98172384890788,2.522465323458631,0.12022202473081962
t=0,50.0,127,208,5,24.178381159462756,96,22.56081300092313,2.4153434215366603,0.10705923680311656
t=0,50.0,127,208,5,24.178381159462756,112,23.8593403991839,2.383870316354581,0.09991350458439834
t=0,50.0,219,57,163,18.618643122448223,32,12.30116648275861,2.6752940673232857,0.21748295749618493
t=0,50.0,219,57,163,18.618643122448223,48,15.860752226444994,2.5972096645317855,0.1637507242690166
t=0,50.0,219,57,163,18.618643122448223,64,18.325401964520132,2.3676581406818973,0.12920088439347346
t=0,50.0,219,57,163,18.618643122448223,80,20.18373233433041,2.3855340259686737,0.11819092655678606
t=0,50.0,219,57,163,18.618643122448223,96,21.64715103544329,2.479005811086703,0.11451880236007869
t=0,50.0,219,57,163,18.618643122448223,112,22.931348723991487,2.518055299685571,0.10980842557468518
